company	address	city	state	zip_code	lat	lon	website
Brew STX	55 Kings Alley	Christiansted	VI	820	17.734211	-64.734694	www.brewstx.com
Zurc Brauhaus	Baldoriojy 44	Coamo	PR	769	18.095992	-66.35081	
Frenchtown Brewing Company	24A Honduras	Charlotte Amalie	VI	802	18.322285	-64.963715	www.frenchtownbrewing.com
St John Brewers	5000 Estate Enighed # 289	St John	VI	00830-6120	18.32816	-64.740737	www.stjohnbrewers.com
Old Harbor Brewery	1 M Riveria Ferrer	Guiynavo	PR	968	18.406077	-66.101223	
Ocean Lab Brewing	Balneario De Carolina Road PR187 KM 2.6	Carolina	PR	979	18.444389	-66.030129	www.oceanlabbrewing.com
Kona Brewing Co	74-5612 Pawai Pl	Kailua Kona	HI	96740-1617	19.643459	-156.00019	www.konabrewingco.com
Ola Brew Co.	74-5598 Luhia St Ste A	Kailua Kona	HI	96740-3151	19.646648	-155.997879	www.olabrewco.com
Hawaii Nui Brewing	275 E Kawili St	Hilo	HI	96720-5074	19.705941	-155.069946	www.hawaiinuibrewing.com
Big Island Brewhaus	64-1066 Mamalahoa Hwy Unit 5	Kamuela	HI	96743-7309	20.023671	-155.664694	www.bigislandbrewhaus.com
Maui Brewing Co - Production	605 Lipoa Pkwy	Kihei	HI	96753-6947	20.749782	-156.440571	www.mauibrewingco.com
Kohola Brewery	910 Honoapiilani Hwy Suite 55	Lahaina	HI	96761-1507	20.88099	-156.680315	www.koholabrewery.com
Maui Brewing Co, Brewpub	4405 Honoapiilani Hwy Ste 217	Lahaina	HI	96761-9272	20.971403	-156.677308	www.mauibrewingco.com
Waikiki Brewing Company	1945 Kalakaua Ave	Honolulu	HI	96815-1851	21.285887	-157.833655	www.waikikibrewing.com
Beer Lab HI	1010 University Ave Ste B1	Honolulu	HI	96826-1537	21.292471	-157.822022	www.beerlabhi.com
Honolulu BeerWorks	328 Cooke St	Honolulu	HI	96813-5531	21.297244	-157.860563	www.honolulubeerworks.com
Home of the Brave Brewing Company	909 Waimanu St	Honolulu	HI	96814-3309	21.298754	-157.853681	www.hotbbc.com
Waikiki Brewing Company, Kaka'ako	831 Queen St	Honolulu	HI	96813-5203	21.29923	-157.856001	
Aloha Beer Co	700 Queen St	Honolulu	HI	96813-5110	21.30092	-157.856815	www.alohabeer.com
Gordon Biersch Brewery Restaurant - Honolulu	1 Aloha Tower Dr Ste 1123	Honolulu	HI	96813-4815	21.306736	-157.865591	www.gordonbiersch.com/restaurant
Lanikai Brewing Co	175-C Hamakua Dr	Kailua	HI	96734	21.390556	-157.741556	
Olomana Brewing Co.	270 Kuulei Rd #101	Kailua	HI	96735	21.396515	-157.740611	www.threepeakshawaii.com
Inu Island Ales	46-147 Kahuhipa St STE E	Kaneohe	HI	96744	21.417714	-157.802459	www.inuislandales.com
Beer Lab HI - Waipio	94-515 Ukee St Ste 310	Waipahu	HI	96797	21.423148	-158.005617	
Taps and Apps	95-1830 Meheula Pkwy Ste C-6	Mililani	HI	96789-6311	21.46714	-158.002466	www.tapsandappsbrewpub.com
Kauai Island Brewery	4350 Waialo Rd	Port Allen	HI	96705	21.901449	-159.58656	www.kauaiislandbrewing.com
Kauai Beer Company	4265 Rice St	Lihue	HI	96766	21.972175	-159.364828	www.kauaibeer.com
First Flight Island Restaurant & Brewery	301 Whitehead St	Key West	FL	33040-6542	24.557334	-81.805281	http://firstflightkw.com
Waterfront Brewery LLC	201 William St	Key West	FL	33040-6679	24.561095	-81.80096	www.thewaterfrontbrewery.com
Florida Keys Brewing Co.	200 Morada Way	Islamorada	FL	33036	24.90169	-80.682667	www.floridakeysbrewingco.com
Miami Brewing Co	30205 SW 217th Ave	Homestead	FL	33030-7601	25.485512	-80.540288	www.miamibrewing.org
Spanish Marie Brewery	14241 SW 120th St Ste 109	Miami	FL	33186	25.657007	-80.424901	
Titanic Brewing Co	5813 Ponce de Leon Blvd	Miami	FL	33146-2422	25.710682	-80.282945	www.titanicbrewery.com
Lincoln's Beard Brewing Co.	7360 SW 41st St	Miami	FL	33155-4504	25.732111	-80.314343	lincolnsbeardbrewing.com/
NightLife Brewing Co	1588 Nw 7th St	Miami	FL	33125	25.779374	-80.220991	www.nightlifebrewingco.com
Beat Culture	7250 NW 11th Street	Miami	FL	33126	25.780773	-80.313649	
Tripping Animals Brewing Company	2685 NW 10th Ave	Doral	FL	33172	25.786922	-80.359727	www.trippinganimals.com
Gravity Brewlab	1521 Alton Rd # 591	Miami Beach	FL	33139-3301	25.787903	-80.140715	www.Gravity.beer
Abbey Brewing Co	1115 16th St	Miami Beach	FL	33139-2441	25.789072	-80.140084	
Biscayne Bay Brewing Co	8000 NW 25th St Ste 500	Miami	FL	33122-1631	25.795916	-80.326366	
J Wakefield Brewing	120 NW 24th St	Miami	FL	33127-4414	25.799617	-80.197553	www.jwakefieldbrewing.com
Wynwood Brewing Company	565 NW 24th St	Miami	FL	33127-4327	25.800233	-80.2044	www.wynwoodbrewing.com
Concrete Beach Brewery	325 NW 24th St	Miami	FL	33127-4325	25.800274	-80.200832	www.concretebeachbrewery.com/
Veza Sur Brewing Co	55 NW 25th St	Miami	FL	33127-4415	25.801047	-80.196118	
M.I.A. Beer Co	10400 NW 33rd St Ste 150	Doral	FL	33172-5902	25.803733	-80.366025	www.mia.beer
The Tank Brewing Company	5100 NW 72nd Ave. Bay A-1	Miami	FL	33166	25.820071	-80.315596	www.thetankbrewing.com
Bousa Brewing Company	7235 NE 4th Ave	Miami	FL	33138-5315	25.841716	-80.189039	www.bousabrewing.com
Legacy Caribbean Craft Brewery	13416 NW 38th Ct	Opa Locka	FL	33054-4506	25.895538	-80.263223	Www.legacyccb.com
Hollywood Brewing Co	290 N Broadwalk	Hollywood	FL	33020-1002	26.013857	-80.115572	www.hollywood.beer
Department Coffee	1940 N 30th Rd	Hollywood	FL	33021-4401	26.028357	-80.168844	www.depatmentcoffee.com
Hollywood Brewing Co	3410 N 29th Ave	Hollywood	FL	33020-1002	26.039607	-80.16588	www.hollywood.beer
3 Sons Brewing Co.	236 N Federal Hwy Unit 104	Dania Beach	FL	33004-2870	26.057123	-80.143202	www.3sonsbrewingco.com
The Blue Onion Brewpub	423 S International Blvd	Weslaco	TX	78596-9114	26.06524	-97.950639	www.myblueonion.com
LauderAle	3305 SE 14th Ave Bldg 4	Fort Lauderdale	FL	33316-4212	26.083175	-80.128418	www.lauderale.co
Padre Island Brewing Co	3400 Padre Blvd	South Padre Island	TX	78597	26.088874	-97.164791	www.pibrewingcompany.com
The Mack House Brewpub	9118 W State Road 84	Davie	FL	33324-4416	26.103849	-80.271418	www.themackhouse.com
Tarpon River Brewing	280 SW 6th Street	Fort Lauderdale	FL	33301	26.114694	-80.146047	http://www.nativebrewingco.com/index.html
Ankrolab Brewing Company	3555 Bayshore Dr	Naples	FL	34112-6363	26.120375	-81.770119	ankrolab.com
Invasive Species Brewing	726 NE 2nd Ave	Fort Lauderdale	FL	33304-2616	26.132529	-80.141588	www.invasivespeciesbrewing.com
Khoffner Brewery LTD	1110 NE 8th Avenue Bay #1	Fort Lauderdale	FL	33304	26.139321	-80.13515	www.khoffner.us
Gulf Stream Brewing	1105 NE 13th St	Fort Lauderdale	FL	33304-1802	26.142784	-80.132309	www.gulfstreambeer.com
Riptide Brewing Company	987 3rd Ave N	Naples	FL	34102-5810	26.151144	-81.794963	www.riptidebrewingcompany.com
Naples Beach Brewery	4110 Enterprise Ave Ste 217	Naples	FL	34104-7084	26.159931	-81.758527	www.naplesbeachbrewery.com
Funky Buddha Brewery	1201 NE 38th St Ste A1 Bay A1	Oakland Park	FL	33334-4504	26.175277	-80.13088	www.thefunkybuddha.com
Fantasy Brewmasters, LLC	5825 Dogwood Way	Naples	FL	34116-4909	26.207016	-81.724364	
5x5 Brewing Co.	801 N Bryan Rd Ste 174	Mission	TX	78572-6215	26.211751	-98.3103	www.5x5brewing.com
Brewsome Brewery	1303 N 10th	McAllen	TX	78501	26.215407	-98.228201	www.brewsomebrewery.com
26 Degree Brewing Company	2600 E Atlantic Blvd	Pompano Beach	FL	33062-4940	26.2314	-80.096474	
Odd Breed Wild Ales	50 NE 1st St	Pompano Beach	FL	33060-6602	26.23241	-80.124558	www.oddbreed.com
Big River Brewery, LLC	505 W Nolana Loop	Pharr	TX	78577-8345	26.234099	-98.183721	
